Rank,SKU,Gap Units,Revenue Impact,Customers Affected,,,,,,,,,,,,,,,Rank,SKU,Gap Units,Revenue Impact,Customers Affected
56,A8895H11-1,"1,368","$11,382",1,,,,,,,,,,,,,,,47,A1636H11,840,"$18,472",1
57,A8895H21-1,"1,300","$10,816",1,,,,,,,,,,,,,,,49,A8356H11-1,766,"$18,384",1
58,A2697J41,299,"$10,815",2,,,,,,,,,,,,,,,52,B25M1111-1,343,"$16,308",1
59,A8357JA1,866,"$9,517",1,,,,,,,,,,,,,,,53,A81H6H11-1,"3,000","$15,750",1
60,B2736H11-1,555,"$8,986",2,,,,,,,,,,,,,,,55,A8434H12-1,"1,379","$11,404",1
61,A81F7H21-1,"1,314","$8,278",1,,,,,,,,,,,,,,,56,A8895H11-1,"1,368","$11,382",1
62,A1339111-1,155,"$8,176",2,,,,,,,,,,,,,,,57,A8895H21-1,"1,300","$10,816",1
63,A81H5H21-1,"2,534","$7,602",1,,,,,,,,,,,,,,,59,A8357JA1,866,"$9,517",1
64,A8194H21-1,859,"$7,387",1,,,,,,,,,,,,,,,61,A81F7H21-1,"1,314","$8,278",1
65,B2519JF1,454,"$7,151",1,,,,,,,,,,,,,,,63,A81H5H21-1,"2,534","$7,602",1
66,A2683141,156,"$5,872",1,,,,,,,,,,,,,,,64,A8194H21-1,859,"$7,387",1
67,A81B5H21-1,705,"$5,076",1,,,,,,,,,,,,,,,65,B2519JF1,454,"$7,151",1
68,A8312HA1-1,380,"$4,594",1,,,,,,,,,,,,,,,66,A2683141,156,"$5,872",1
69,A2664J11-1,322,"$4,508",1,,,,,,,,,,,,,,,67,A81B5H21-1,705,"$5,076",1
70,A81B7H21-1,419,"$3,855",1,,,,,,,,,,,,,,,68,A8312HA1-1,380,"$4,594",1
71,Y1812HA1,78,"$3,806",1,,,,,,,,,,,,,,,69,A2664J11-1,322,"$4,508",1
72,A8012H21-1,553,"$3,760",1,,,,,,,,,,,,,,,70,A81B7H21-1,419,"$3,855",1
73,A9110H11-1,200,"$3,742",1,,,,,,,,,,,,,,,71,Y1812HA1,78,"$3,806",1
74,B2736H12-1,185,"$3,182",1,,,,,,,,,,,,,,,72,A8012H21-1,553,"$3,760",1
75,B2557J11-1,62,"$3,142",3,,,,,,,,,,,,,,,73,A9110H11-1,200,"$3,742",1
76,A8434HA2-1,378,"$3,126",1,,,,,,,,,,,,,,,74,B2736H12-1,185,"$3,182",1
77,A8014H21-1,355,"$3,124",1,,,,,,,,,,,,,,,76,A8434HA2-1,378,"$3,126",1
78,B25X1J11,110,"$2,875",1,,,,,,,,,,,,,,,77,A8014H21-1,355,"$3,124",1
79,A2738HA2-1,200,"$2,700",1,,,,,,,,,,,,,,,78,B25X1J11,110,"$2,875",1
80,B25M4J21,50,"$2,465",1,,,,,,,,,,,,,,,79,A2738HA2-1,200,"$2,700",1
81,B25M4J11,47,"$2,404",1,,,,,,,,,,,,,,,80,B25M4J21,50,"$2,465",1
82,A2642J11-1,266,"$2,088",2,,,,,,,,,,,,,,,81,B25M4J11,47,"$2,404",1
83,B25M8J21-1,31,"$1,671",1,,,,,,,,,,,,,,,83,B25M8J21-1,31,"$1,671",1
84,A2698J21-1,200,"$1,454",1,,,,,,,,,,,,,,,84,A2698J21-1,200,"$1,454",1
85,A2345141,10,$728,1,,,,,,,,,,,,,,,85,A2345141,10,$728,1
86,A2688J41-1,21,$713,1,,,,,,,,,,,,,,,86,A2688J41-1,21,$713,1
87,B2657V21,58,$696,1,,,,,,,,,,,,,,,87,B2657V21,58,$696,1
88,B2524J11-1,27,$539,1,,,,,,,,,,,,,,,88,B2524J11-1,27,$539,1
89,A91F2121,21,$366,1,,,,,,,,,,,,,,,89,A91F2121,21,$366,1
90,A9183123,20,$349,1,,,,,,,,,,,,,,,90,A9183123,20,$349,1
91,B2557121,6,$335,1,,,,,,,,,,,,,,,91,B2557121,6,$335,1
92,A8193H21-1,37,$318,1,,,,,,,,,,,,,,,92,A8193H21-1,37,$318,1
93,B2529JF1,18,$315,1,,,,,,,,,,,,,,,93,B2529JF1,18,$315,1
94,A2340111,4,$235,1,,,,,,,,,,,,,,,94,A2340111,4,$235,1
95,B25X1J21,4,$105,1,,,,,,,,,,,,,,,95,B25X1J21,4,$105,1
