Important Helper,Shift logic,Sell-in price,Category,PCT,BG,PDT,Customer ID,Customer,Anker SKU,202534,202535,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552
1989Y1822J15,1,11.55,Charging,US_CH,Mobile Charging IPMT,Wireless,1989,Amazon Vendor_MFA_US,Y1822J15,$0.00,$0.00,$0.00,"$210,672.00",$0.00,"$241,164.00",$0.00,"$80,388.00","$80,388.00","$55,440.00","$80,388.00","$80,388.00",$0.00,"$80,388.00","$80,388.00","$80,388.00","$13,860.00",$0.00,"$24,948.00"
52741B2657T21,1,12,Charging,US_CH,Mobile Charging IPMT,Charger,52741,Apple AU,B2657T21,$0.00,$0.00,$524.40,$524.40,$524.40,$501.60,$478.80,$456.00,$410.40,$615.60,$629.28,$410.40,$547.20,$547.20,$547.20,$629.28,$629.28,$592.80,$570.00
52741A2689T21,1,15,Charging,US_CH,Mobile Charging IPMT,Charger,52741,Apple AU,A2689T21,$0.00,$0.00,$776.25,$776.25,$776.25,$742.50,$708.75,$675.00,$607.50,$911.25,$931.50,$607.50,$810.00,$810.00,$810.00,$931.50,$931.50,$877.50,$843.75
52741A2604T21,1,24,Charging,US_CH,Mobile Charging IPMT,Charger,52741,Apple AU,A2604T21,$0.00,$0.00,$607.20,$607.20,$607.20,$580.80,$554.40,$528.00,$475.20,$712.80,$728.64,$475.20,$633.60,$633.60,$633.60,$728.64,$728.64,$686.40,$660.00
52741A2655T21,1,38,Charging,US_CH,Mobile Charging IPMT,Charger,52741,Apple AU,A2655T21,$0.00,$0.00,$655.50,$655.50,$655.50,$627.00,$598.50,$570.00,$513.00,$769.50,$786.60,$513.00,$684.00,$684.00,$684.00,$786.60,$786.60,$741.00,$712.50
52741A2644T21,1,50,Charging,US_CH,Mobile Charging IPMT,Charger,52741,Apple AU,A2644T21,$0.00,$0.00,$690.00,$690.00,$690.00,$660.00,$630.00,$600.00,$540.00,$810.00,$828.00,$540.00,$720.00,$720.00,$720.00,$828.00,$828.00,$780.00,$750.00
52741A1667H21,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52741,Apple AU,A1667H21,$0.00,$0.00,"$2,511.60","$2,511.60","$2,511.60","$3,003.00","$2,866.50","$2,730.00","$2,457.00","$3,685.50","$3,767.40","$2,457.00","$3,276.00","$3,276.00","$3,276.00","$3,767.40","$3,767.40","$3,549.00","$3,412.50"
52741A1667H31,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52741,Apple AU,A1667H31,$0.00,$0.00,"$1,554.80","$1,554.80","$1,554.80","$1,859.00","$1,774.50","$1,690.00","$1,521.00","$2,281.50","$2,332.20","$1,521.00","$2,028.00","$2,028.00","$2,028.00","$2,332.20","$2,332.20","$2,197.00","$2,112.50"
52741Y1812T21,1,48.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52741,Apple AU,Y1812T21,$0.00,$0.00,$841.80,$841.80,$841.80,$805.20,$768.60,$732.00,$658.80,$988.20,"$1,010.16",$658.80,$878.40,$878.40,$878.40,"$1,010.16","$1,010.16",$951.60,$915.00
52741Y1812TA1,1,48.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52741,Apple AU,Y1812TA1,$0.00,$0.00,"$1,122.40","$1,122.40","$1,122.40","$1,073.60","$1,024.80",$976.00,$878.40,"$1,317.60","$1,346.88",$878.40,"$1,171.20","$1,171.20","$1,171.20","$1,346.88","$1,346.88","$1,268.80","$1,220.00"
52741B25L0T21,1,31.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52741,Apple AU,B25L0T21,$0.00,$0.00,$548.55,$548.55,$548.55,$524.70,$500.85,$477.00,$429.30,$643.95,$658.26,$429.30,$572.40,$572.40,$572.40,$658.26,$658.26,$620.10,$596.25
52741A1667H91,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52741,Apple AU,A1667H91,$0.00,$0.00,$598.00,$598.00,$598.00,$572.00,$546.00,$520.00,$468.00,$702.00,$717.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
52728B2657P21,1,12.17,Charging,US_CH,Mobile Charging IPMT,Charger,52728,Apple CN,B2657P21,$0.00,$0.00,"$2,238.66","$2,238.66","$2,238.66","$2,141.33","$2,043.99","$1,946.66","$1,752.00","$3,416.39","$3,492.31","$1,752.00","$2,335.99","$2,335.99","$2,335.99","$2,686.39","$2,686.39","$2,530.66","$2,433.33"
52728A2689P21,1,15.21,Charging,US_CH,Mobile Charging IPMT,Charger,52728,Apple CN,A2689P21,$0.00,$0.00,$524.69,$524.69,$524.69,$501.87,$479.06,$456.25,$410.62,$862.31,$881.47,$410.62,$547.50,$547.50,$547.50,$629.62,$629.62,$593.12,$570.31
52728A2604P21,1,24.33,Charging,US_CH,Mobile Charging IPMT,Charger,52728,Apple CN,A2604P21,$0.00,$0.00,$447.73,$447.73,$447.73,$428.27,$408.80,$389.33,$350.40,$788.40,$805.92,$350.40,$467.20,$467.20,$467.20,$537.28,$537.28,$506.13,$486.67
52728A2655P21,1,38.53,Charging,US_CH,Mobile Charging IPMT,Charger,52728,Apple CN,A2655P21,$0.00,$0.00,$443.07,$443.07,$443.07,$423.80,$404.54,$385.28,$346.75,$728.17,$744.35,$346.75,$462.33,$462.33,$462.33,$531.68,$531.68,$500.86,$481.60
52728A2644P21,1,50.69,Charging,US_CH,Mobile Charging IPMT,Charger,52728,Apple CN,A2644P21,$0.00,$0.00,$466.39,$466.39,$466.39,$446.11,$425.83,$405.55,$365.00,$821.25,$839.50,$365.00,$486.67,$486.67,$486.67,$559.67,$559.67,$527.22,$506.94
52728Y1811PA1,1,61.22,Charging,US_CH,Mobile Charging IPMT,Wireless,52728,Apple CN,Y1811PA1,$0.00,$0.00,"$2,464.03","$2,464.03","$2,464.03","$2,356.90","$2,249.77","$2,142.64","$1,928.37","$2,892.56","$2,956.84","$1,928.37","$2,571.16","$2,571.16","$2,571.16","$2,956.84","$2,956.84","$2,785.43","$2,678.30"
52734B2657V21,1,12,Charging,US_CH,Mobile Charging IPMT,Charger,52734,Apple HK,B2657V21,$0.00,$0.00,$124.20,$124.20,$124.20,$118.80,$113.40,$108.00,$97.20,$204.12,$208.66,$97.20,$129.60,$129.60,$129.60,$149.04,$149.04,$140.40,$135.00
52734A2689V21,1,15,Charging,US_CH,Mobile Charging IPMT,Charger,52734,Apple HK,A2689V21,$0.00,$0.00,$293.25,$293.25,$293.25,$280.50,$267.75,$255.00,$229.50,$413.10,$422.28,$229.50,$306.00,$306.00,$306.00,$351.90,$351.90,$331.50,$318.75
52734A2604V21,1,24,Charging,US_CH,Mobile Charging IPMT,Charger,52734,Apple HK,A2604V21,$0.00,$0.00,$193.20,$193.20,$193.20,$184.80,$176.40,$168.00,$151.20,$294.84,$301.39,$151.20,$201.60,$201.60,$201.60,$231.84,$231.84,$218.40,$210.00
52734A2655V21,1,38,Charging,US_CH,Mobile Charging IPMT,Charger,52734,Apple HK,A2655V21,$0.00,$0.00,$174.80,$174.80,$174.80,$167.20,$159.60,$152.00,$136.80,$205.20,$209.76,$136.80,$182.40,$182.40,$182.40,$209.76,$209.76,$197.60,$190.00
52734A2644V21,1,50,Charging,US_CH,Mobile Charging IPMT,Charger,52734,Apple HK,A2644V21,$0.00,$0.00,$287.50,$287.50,$287.50,$275.00,$262.50,$250.00,$225.00,$438.75,$448.50,$225.00,$300.00,$300.00,$300.00,$345.00,$345.00,$325.00,$312.50
52734B25L0H21,1,31.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52734,Apple HK,B25L0H21,$0.00,$0.00,$731.40,$731.40,$731.40,$699.60,$667.80,$636.00,$572.40,$858.60,$877.68,$572.40,$763.20,$763.20,$763.20,$877.68,$877.68,$826.80,$795.00
52734A1667H21,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52734,Apple HK,A1667H21,$0.00,$0.00,"$2,392.00","$2,392.00","$2,392.00","$2,288.00","$2,184.00","$2,080.00","$1,872.00","$3,369.60","$3,444.48","$1,872.00","$2,496.00","$2,496.00","$2,496.00","$2,870.40","$2,870.40","$2,704.00","$2,600.00"
52734A1667H31,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52734,Apple HK,A1667H31,$0.00,$0.00,"$2,093.00","$2,093.00","$2,093.00","$2,002.00","$1,911.00","$1,820.00","$1,638.00","$2,948.40","$3,013.92","$1,638.00","$2,184.00","$2,184.00","$2,184.00","$2,511.60","$2,511.60","$2,366.00","$2,275.00"
52734Y1812H21,1,48.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52734,Apple HK,Y1812H21,$0.00,$0.00,$392.84,$392.84,$392.84,$375.76,$358.68,$488.00,$439.20,$658.80,$673.44,$439.20,$585.60,$585.60,$585.60,$673.44,$673.44,$634.40,$610.00
52734Y1812HA1,1,48.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52734,Apple HK,Y1812HA1,$0.00,$0.00,$561.20,$561.20,$561.20,$536.80,$512.40,$488.00,$439.20,$658.80,$673.44,$439.20,$585.60,$585.60,$585.60,$673.44,$673.44,$634.40,$610.00
